<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080680>	Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Architektur nach Ländern und Landschaften | Architektur | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 80680
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080687>	Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Architektur nach Ländern und Landschaften | Architektur | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | 19. und 20. Jahrhundert	LK 80687
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2082280>	Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Skulptur nach Ländern und Landschaften | Skulptur (Plastik) | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 82280
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2084280>	Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Malerei nach Ländern und Landschaften | Malerei | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 84280
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085840>	Hessen | Länder | Geschichte der deutschen Zeichnung und Grafik nach Ländern und Landschaften | Zeichnung und Grafik | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 85840
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2086740>	Hessen | Länder | Geschichte der deutschen Buchmalerei nach Ländern und Landschaften | Buchmalerei | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 86740
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2091840>	Hessen, Thüringen, Sachsen | Länder | Einrichtung und Ausstattung in deutschen Ländern und Landschaften | Einrichtung und Ausstattung | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 91840
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2093140>	Hessen, Thüringen, Sachsen | Länder | Kunstgewerbe in deutschen Ländern und Landschaften | Kunstgewerbe | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 93140
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LV%2052265>	Mitteldeutsche | Deutsche | Völker mit indogermanischen Sprachen | Volkslieder der Landschaften und Völker | Volksgesang | Volksmusik in Europa und Amerika - Tonträger | Musikalische Volks- und Völkerkunde: Tonträger | III. Tonträger | Musikwissenschaft | Hessen	LV 52265
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/MG%2021050>	Hessen | Bundesrepublik Deutschland | Westeuropa, Mitteleuropa | Europa, Nordamerika | Politische Systeme einzelner Länder | Politologie | Verfassungs- und Gesetzestexte	MG 21050
