uri,notation,label_german
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203900,NR 3900,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Landschaftsgeschichte"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203950,NR 3950,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Einzelbeiträge"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203960,NR 3960,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Kirchengeschichte (allgemein)"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203965,NR 3965,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Kloster- und Stiftsgeschichte"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%204270,NR 4270,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Burgen, Schlösser, Residenzen und Herrensitze"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060060,NZ 60060,Allgemeines | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Geschichte der regionalhistorischen Forschung in Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060290,NZ 60290,"Vor- und Frühgeschichte, Römerzeit und Völkerwanderung, Archäologie | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Geschichte der Archäologie in Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060300,NZ 60300,"Politische Geschichte Hessens | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Gesamtdarstellungen, epochenübergreifende Darstellungen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061000,NZ 61000,Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Landgrafschaft Hessen (1247-1567)
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061010,NZ 61010,Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Landgrafschaft Hessen-Kassel (1567-1806)
